batter,batsman_runs,balls_faced,strike_rate
PD Salt,653,372,175.53763440860214
AD Russell,2488,1423,174.84188334504566
TM Head,772,444,173.87387387387386
T Stubbs,405,233,173.8197424892704
TH David,659,387,170.28423772609818
H Klaasen,993,590,168.3050847457627
SP Narine,1534,925,165.83783783783784
LS Livingstone,939,578,162.4567474048443
N Pooran,1769,1092,161.996336996337
Rashid Khan,545,337,161.72106824925817
Shashank Singh,423,262,161.45038167938932
RM Patidar,799,503,158.84691848906562
GJ Maxwell,2772,1769,156.69869983041266
V Sehwag,2728,1755,155.44159544159544
CH Morris,618,398,155.27638190954772
Abhishek Sharma,1377,887,155.24239007891768
C Green,707,460,153.69565217391303
RR Rossouw,473,308,153.57142857142858
SO Hetmyer,1243,812,153.07881773399015
Abishek Porel,360,236,152.54237288135593
AB de Villiers,5181,3411,151.8909410729991
Dhruv Jurel,347,229,151.528384279476
JM Sharma,730,483,151.13871635610764
YBK Jaiswal,1607,1067,150.6091846298032
PJ Cummins,515,344,149.7093023255814
CH Gayle,4997,3346,149.34249850567844
RR Pant,3297,2215,148.8487584650113
KA Pollard,3437,2329,147.57406612279948
R Powell,360,244,147.54098360655738
PP Shaw,1892,1283,147.4668745128605
JC Buttler,3583,2430,147.4485596707819
S Dube,1502,1024,146.6796875
Tilak Varma,1156,790,146.32911392405063
P Simran Singh,756,517,146.22823984526113
Abdul Samad,579,397,145.84382871536522
HH Pandya,2534,1739,145.71592869465212
SA Yadav,3594,2474,145.2708164915117
JM Bairstow,1589,1100,144.45454545454547
ST Jayasuriya,768,532,144.36090225563908
KR Mayers,379,263,144.106463878327
YK Pathan,3222,2245,143.51893095768372
RK Singh,893,623,143.338683788122
Nithish Kumar Reddy,303,212,142.9245283018868
MP Stoinis,1866,1314,142.00913242009133
JA Morkel,975,687,141.92139737991266
HM Amla,577,407,141.76904176904176
MM Ali,1162,821,141.5347137637028
M Shahrukh Khan,553,391,141.43222506393863
MK Lomror,527,373,141.28686327077747
DP Conway,924,654,141.28440366972478
CA Lynn,1329,945,140.63492063492063
N Wadhera,350,250,140.0
DA Warner,6567,4702,139.6639727775415
RA Tripathi,2236,1605,139.31464174454828
DA Miller,2924,2101,139.17182294145644
B Sai Sudharsan,1034,743,139.16554508748317
SV Samson,4419,3180,138.96226415094338
SN Thakur,307,221,138.91402714932127
RN ten Doeschate,326,235,138.72340425531914
JJ Roy,614,443,138.6004514672686
AC Gilchrist,2069,1495,138.39464882943145
SR Watson,3880,2813,137.93103448275863
Harbhajan Singh,833,604,137.91390728476821
MS Dhoni,5243,3812,137.53934942287515
ML Hayden,1107,806,137.34491315136478
NLTC Perera,424,309,137.2168284789644
VR Iyer,1326,967,137.12512926577043
E Lewis,654,477,137.1069182389937
RD Gaikwad,2380,1739,136.860264519839
SK Raina,5536,4046,136.82649530400394
SM Curran,883,647,136.47604327666153
F du Plessis,4571,3352,136.36634844868735
JR Hopes,417,306,136.27450980392157
Ishan Kishan,2644,1946,135.86844809866392
Shubman Gill,3216,2370,135.69620253164555
KD Karthik,4843,3580,135.27932960893853
DR Smith,2385,1764,135.20408163265304
R Parag,1173,868,135.13824884792626
JP Faulkner,527,390,135.12820512820514
N Rana,2636,1952,135.04098360655738
KP Pietersen,1001,743,134.72409152086138
R Tewatia,1013,752,134.70744680851064
C de Grandhomme,303,225,134.66666666666666
KL Rahul,4689,3485,134.54806312769009
Q de Kock,3160,2355,134.18259023354565
A Badoni,634,473,134.03805496828753
BA Stokes,935,698,133.9541547277937
Rahmanullah Gurbaz,289,216,133.7962962962963
MA Agarwal,2669,2002,133.3166833166833
SE Marsh,2489,1871,133.0304649919829
KH Pandya,1647,1240,132.82258064516128
V Kohli,8014,6069,132.04811336299224
JD Ryder,604,458,131.87772925764193
BB McCullum,2882,2190,131.59817351598173
DJ Mitchell,351,267,131.46067415730337
RG Sharma,6630,5057,131.10539845758356
AR Patel,1653,1263,130.87885985748218
M Vohra,1083,829,130.63932448733414
SN Khan,585,448,130.58035714285714
RV Uthappa,4954,3801,130.33412259931595
OA Shah,506,389,130.0771208226221
A Symonds,974,750,129.86666666666667
V Shankar,1115,859,129.80209545983703
Yuvraj Singh,2754,2122,129.78322337417532
